#Datasets	P10N Illumina	P10N Nanopore	P10N Illumina 16S	P10V Illumina	P10V Nanopore	P10V Illumina 16S
Bifidobacteriaceae	0	0	0	0	0	0
Bifidobacterium	2238	1376	3256	0	0	4
Corynebacteriales	0	0	0	0	0	0
Corynebacteriaceae	0	0	4	0	0	0
Corynebacterium	0	0	0	0	0	0
Micrococcales	0	0	0	0	0	0
Jonesiaceae	0	0	0	0	0	0
Jonesia	0	0	0	0	0	0
Propionibacteriales	0	0	0	0	0	0
Propionibacteriaceae	0	0	0	0	0	0
Acidipropionibacterium	0	0	0	0	0	0
Cutibacterium	0	0	0	13	4	0
Microlunatus	0	0	0	0	0	0
Propionibacterium	0	0	0	0	0	15
Streptomycetales	0	0	0	0	0	0
Streptomycetaceae	0	0	0	0	0	0
Streptomyces	0	0	0	0	0	0
Coriobacteriia	0	0	0	0	0	0
Eggerthellales	0	0	0	0	0	0
Eggerthellaceae	0	0	0	0	0	0
Gordonibacter	2	2	0	0	0	0
Firmicutes	0	0	10	1	0	3
Bacilli	1	1	6	3	2	0
Bacillales	1	0	0	0	0	0
Listeriaceae	0	0	0	0	0	0
Listeria	0	0	0	14	9	0
Staphylococcaceae	0	0	0	0	0	0
Staphylococcus	789	367	1989	6	0	17
Lactobacillales	0	1	0	13	3	0
Enterococcaceae	0	0	0	1	0	0
Enterococcus	0	0	0	1895	924	2709
Lactobacillaceae	0	0	0	0	0	0
Lactobacillus	21	7	18	0	0	0
Streptococcaceae	0	0	0	0	0	0
Streptococcus	1	0	5	0	0	0
Clostridia	0	0	0	0	0	0
Clostridiales	0	0	1	0	0	0
Lachnospiraceae	0	0	0	0	0	0
Dorea	0	0	0	0	0	1
Negativicutes	0	0	0	0	0	0
Veillonellales	0	0	0	0	0	0
Veillonellaceae	0	0	0	0	0	0
Veillonella	0	0	0	0	0	0
Eukaryota	0	0	0	0	0	0
Opisthokonta	0	0	0	0	0	0
Metazoa	0	0	0	0	0	0
Eumetazoa	0	0	0	0	0	0
Bilateria	0	1	0	0	0	0
Deuterostomia	0	0	0	0	0	0
Chordata	0	0	0	0	0	0
Craniata	0	0	0	0	0	0
Vertebrata	0	0	0	0	0	0
Gnathostomata	0	0	0	0	0	0
Teleostomi	0	0	0	0	0	0
Euteleostomi	0	0	0	0	0	0
Sarcopterygii	0	0	0	0	0	0
Dipnotetrapodomorpha	0	0	0	0	0	0
Tetrapoda	0	0	0	0	0	0
Amniota	0	0	0	0	0	0
Mammalia	0	0	0	0	0	0
Theria	0	0	0	0	0	0
Eutheria	0	0	0	0	0	0
Boreoeutheria	0	0	0	0	0	0
Euarchontoglires	0	0	0	0	0	0
Primates	0	0	0	0	0	0
Haplorrhini	0	0	0	0	0	0
Simiiformes	0	0	0	0	0	0
Catarrhini	0	0	0	0	0	0
Cercopithecoidea	0	0	0	0	0	0
Cercopithecidae	0	0	0	0	0	0
Cercopithecinae	0	0	0	0	0	0
Macaca	0	0	0	0	0	0
Hominoidea	0	0	0	0	0	0
Hominidae	0	0	0	0	0	0
Homininae	0	1	0	0	0	0
Homo	8	3	0	0	0	0
Pan	0	0	0	0	0	0
Ponginae	0	0	0	0	0	0
Pongo	0	0	0	0	0	0
Protostomia	0	0	0	0	0	0
Ecdysozoa	0	0	0	0	0	0
Panarthropoda	0	0	0	0	0	0
Arthropoda	0	0	0	0	0	0
Mandibulata	0	0	0	0	0	0
Pancrustacea	0	0	0	0	0	0
Hexapoda	0	0	0	0	0	0
Insecta	0	0	0	0	0	0
Dicondylia	0	0	0	0	0	0
Pterygota	0	0	0	0	0	0
Neoptera	0	0	0	0	0	0
Holometabola	0	0	0	0	0	0
Diptera	0	0	0	0	0	0
Brachycera	0	0	0	0	0	0
Muscomorpha	0	0	0	0	0	0
Eremoneura	0	0	0	0	0	0
Cyclorrhapha	0	0	0	0	0	0
Schizophora	0	0	0	0	0	0
Acalyptratae	0	0	0	0	0	0
Tephritoidea	0	0	0	0	0	0
Tephritidae	0	0	0	0	0	0
Dacinae	0	0	0	0	0	0
Dacini	0	0	0	0	0	0
Bactrocera	0	0	0	0	1	0
Viruses	0	0	0	0	0	0
"dsDNA viruses, no RNA stage"	0	0	0	0	0	0
Caudovirales	0	0	0	0	0	0
Siphoviridae	0	0	0	0	0	0
Lambdavirus	2	1	0	0	0	0
unclassified Siphoviridae	0	0	0	0	0	0
unclassified phages	0	0	0	32	10	0
unclassified sequences	2	4	0	3	14	0
